,Название,Адресс,Сервис,Качество оборудования,Профессионализм персонала,Стоимость услуг,Рейтинг
0,ФГУ «Лечебно-реабилитационный центр» Министерства здравоохранения и социального развития России,"ул. Лосиноостровская, д. 39",4.25,4.688000202178955,4.23799991607666,3.635999917984009,8.858113841784307
1,ФГУ ««Национальный медико-хирургический центр им. Н.И. Пирогова» Министерства здравоохранения и социального развития России,"ул. Москворечье, д. 16",4.2189998626708975,4.5,4.2189998626708975,3.5450000762939453,8.618953544116454
2,ФГУ «Больница с поликлиникой» Управления делами Президента РФ,"ул. Новая Басманная, д. 5; м. «Красные ворота»",4.486000061035156,4.285999774932861,4.35699987411499,3.937999963760376,8.590122509920825
3,ФГУ «Объединенная больница с поликлиникой» Управления делами Президента РФ,"ул. Будайская, д. 2; ул. Лосиноостровская, вл. 43",4.313000202178955,4.5,4.0939998626708975,3.4670000076293945,8.56891446286534
4,ГУЗ «НИИ неотложной детской хирургии и травматологии» Департамента здравоохранения г. Москвы,"Шмитовский пр-д, д. 29",3.867000102996826,4.400000095367432,4.5329999923706055,3.3570001125335693,8.5346439472604
5,ФГУ «Объединенная больница с поликлиникой» Управления делами Президента РФ,"ул. Новая Басманная, д. 10, стр. 1",4.175000190734863,4.313000202178955,4.313000202178955,3.933000087738037,8.520503503624806
6,Учреждение Российской академии медицинских наук Научный центр Здоровья детей РАМН (НЦЗД РАМН),"Смоленская наб., д. 2, корп. 2; м. «Смоленская»",3.3129999637603764,4.5,4.5,3.0,8.42357008241608
7,ФГУ «Центральная клиническая больница с поликлиникой» Управления делами Президента РФ,"Ореховый бульвар, д. 28",3.875,4.438000202178955,4.188000202178955,3.132999897003174,8.373796466264059
8,ОАО «Медицина»,"Последний пер., д. 28",4.0939998626708975,4.563000202178955,3.7060000896453857,3.3129999637603764,8.371694576000872
9,Филиал «Мединцентр» ГлавУпДК при МИД России,"Волоколамское ш., д. 84",4.063000202178955,4.375,4.156000137329103,3.21399998664856,8.351870374916759
10,ЗАО «Центр Эндохирургии и Литотрипсии»,"Иваньковское ш., д. 7",4.285999774932861,4.285999774932861,4.214000225067139,3.2860000133514404,8.350941420661847
11,ФГУ «Поликлиника № 3» Управления делами Президента РФ,"Б. Черкасский пер., д. 13; м. Китай-город",3.8499999046325684,4.375,4.188000202178955,3.375,8.344009321546714
12,Учреждение Российской академии медицинских наук Научный центр Здоровья детей РАМН (НЦЗД РАМН),"4-й Добрынинский пер., д. 1/9",3.5629999637603764,4.375,4.375,3.2219998836517334,8.331930107460417
13,ФГУ «Поликлиника консультативно-диагностическая» УД ПРФ,"ул. Москворечье, д. 20",4.199999809265137,4.199999809265137,4.300000190734863,3.5629999637603764,8.327867092421608
14,ФГУ «Поликлиника № 1»Управления делами Президента РФ,"ул. 1-я Аэропортовская, д. 5; м. «Аэропорт»",4.23799991607666,4.25,4.188000202178955,3.5,8.327450051567592
15,ФГУЗ «Детская клиническая больница № 38-Центр экологической педиатрии» Федерального медико-биологического агентства России (ФГУЗ ДКБ № 38-ЦЭП ФМБА России),"ул. Большая Полянка, д. 22",3.875,4.281000137329103,4.313000202178955,3.2860000133514404,8.289707851727872
16,ОАО «Медицина»,"ул. Сущевский вал, д. 12",4.3439998626708975,4.438000202178955,3.6440000534057617,3.1429998874664307,8.236353381089307
17,ФГУ «Центральная клиническая больница с поликлиникой» Управления делами Президента РФ,"ул. Международная, д. 19",4.0,4.188000202178955,4.25,3.4379999637603764,8.217993178663722
18,ФГЛПУ «Поликлиника № 2 Минэкономразвития РФ»,"2 Кабельная улица, д. 2, стр. 25; м. «Авиамоторная»",4.0,4.188000202178955,4.25,3.375,8.206202339955192
19,НУЗ «Центральная клиническая больница № 1 ОАО «РЖД»,"Литовский б-р, д. 1А",3.867000102996826,4.333000183105469,4.232999801635741,2.71399998664856,8.199821893965543
20,ФГУ «Центральная клиническая больница с поликлиникой» Управления делами Президента РФ,"ул. Москворечье, д. 20",3.75,4.25,4.313000202178955,3.0,8.171162969465417
21,ФГУ «Клиническая больница №1» Управления делами Президента РФ,"ул. Профсоюзная, д. 86",3.8440001010894775,4.313000202178955,4.188000202178955,2.691999912261963,8.146928942405959
22,ФГУЗ «Детская клиническая больница №38-Центр экологической педиатрии» Федерального медико-биологического агентства (ФГУЗ ДКБ №38-ЦЭП ФМБА России),"Скатертный пер., д. 10; м. «Арбатская», «Пушкинская»",3.812999963760376,4.156000137329103,4.375,3.066999912261963,8.12585981961324
23,ФГЛПУ «Поликлиника Минэкономразвития России»,"ул. Плющиха, д.14; м. «Смоленская»",4.050000190734863,4.063000202178955,4.25,3.132999897003174,8.036757059377763
24,ФГЛПУ «Поликлиника Минэкономразвития России»,"Ломоносовский просп., 2/62; м. «Университет»",4.052999973297118,4.066999912261963,4.199999809265137,3.0629999637603764,8.00523145632104
25,Учреждение Российской академии наук Центральная клиническая больница РАН,"ул. Н-Первомайская, д. 70",3.867000102996826,4.166999816894531,4.132999897003174,2.6670000553131104,7.962522389749255
26,Филиал «Мединцентр» ГлавУпДК при МИД России,"ул. Маршала Тимошенко, д. 11; м. «Молодежная», «Крылатское»",3.5190000534057617,4.313000202178955,3.875,2.875,7.952838195693967
27,ФГУ «Поликлиника №4» УД ПРФ,"ул. Делегатская, д. 9, стр. 2,3; м. «Цветной бульвар»",3.75,4.125,4.125,2.7330000400543213,7.896061392239883
28,ОАО «Моситалмед»,"Скатертный пер., д.10; м. «Арбатская», «Пушкинская»",4.0,3.937999963760376,4.2189998626708975,3.125,7.871598172935858
